Date,Months,Year,Product,Brand,Size,Quantity Sold,Unit Price(in Rupees),Margin (%),Profit(in Rupees),Net Profit(in Rupees),Total Revenue(in Rupees),Tax (GST % ),Tax Amount(in Rupees),Net Tax,Stock Availability,Dealer Location
01-01-2023,January,2023,Sneakers,Nike,10,27,5939,0.15,891,24052,136293,0.12,713,19241,1,Delhi
01-01-2023,January,2023,Flats,Paragon,9,15,1976,0.4,790,11857,17786,0.12,237,3557,57,Delhi
01-01-2023,January,2023,Sneakers,Adidas,7,42,6816,0.15,1022,42942,243337,0.12,818,34353,100,Pune
01-01-2023,January,2023,Flats,Paragon,10,44,1549,0.4,620,27259,40888,0.12,186,8178,200,Haryana
01-01-2023,January,2023,Sandals,Nike,11,20,11378,0.15,1707,34133,193420,0.12,1365,27306,121,Mumbai
01-01-2023,January,2023,Sneakers,Adidas,11,31,2818,0.15,423,13102,74246,0.12,338,10482,74,Mumbai
01-01-2023,January,2023,Sandals,Bata,9,26,4229,0.3,1269,32982,76959,0.12,507,13193,167,Mumbai
01-01-2023,January,2023,Flats,Nike,8,15,9624,0.15,1444,21655,122712,0.12,1155,17324,142,Pune
01-01-2023,January,2023,Flats,Adidas,10,14,2367,0.15,355,4970,28163,0.12,284,3976,124,Delhi
01-01-2023,January,2023,Sneakers,Puma,7,34,3029,0.2,606,20596,82385,0.12,363,12358,143,Pune
01-01-2023,January,2023,Sneakers,Bata,8,23,3681,0.3,1104,25397,59259,0.12,442,10159,68,Mumbai
01-01-2023,January,2023,Flats,Paragon,7,44,2323,0.4,929,40882,61322,0.12,279,12265,168,Delhi
01-01-2023,January,2023,Sandals,Sketchers,10,45,2488,0.25,622,27993,83979,0.12,299,13437,64,Mumbai
01-01-2023,January,2023,Boots,Nike,8,35,6213,0.15,932,32618,184834,0.12,746,26094,195,Delhi
02-01-2023,January,2023,Boots,Paragon,9,35,2712,0.4,1085,37964,56946,0.12,325,11389,167,Pune
02-01-2023,January,2023,Sneakers,Sketchers,7,25,4852,0.25,1213,30328,90984,0.12,582,14557,117,Pune
02-01-2023,January,2023,Flats,Paragon,8,47,1498,0.4,599,28172,42258,0.12,180,8452,85,Delhi
02-01-2023,January,2023,Flats,Liberty,6,13,2653,0.4,1061,13794,20692,0.12,318,4138,90,Delhi
02-01-2023,January,2023,Flats,Paragon,8,48,659,0.4,264,12649,18974,0.12,79,3795,169,Mumbai
02-01-2023,January,2023,Flats,Sketchers,9,10,4561,0.25,1140,11403,34210,0.12,547,5474,187,Delhi
03-01-2023,January,2023,Flats,Paragon,8,17,1234,0.4,494,8390,12584,0.12,148,2517,166,Delhi
03-01-2023,January,2023,Sneakers,Paragon,10,26,2930,0.4,1172,30469,45704,0.12,352,9141,95,Mumbai
03-01-2023,January,2023,Flats,Nike,10,29,13100,0.15,1965,56985,322916,0.12,1572,45588,100,Pune
03-01-2023,January,2023,Sneakers,Bata,11,20,3158,0.3,947,18945,44205,0.12,379,7578,185,Mumbai
03-01-2023,January,2023,Sneakers,Paragon,8,41,549,0.4,219,8999,13498,0.12,66,2699,128,Mumbai
03-01-2023,January,2023,Boots,Nike,7,46,14363,0.15,2155,99107,561608,0.12,1724,79286,174,Delhi
03-01-2023,January,2023,Heels,Nike,11,44,12190,0.15,1828,80454,455906,0.12,1463,64363,171,Delhi
03-01-2023,January,2023,Flats,Adidas,8,43,8979,0.15,1347,57918,328199,0.12,1078,46334,104,Haryana
04-01-2023,January,2023,Flats,Paragon,10,22,2282,0.4,913,20085,30127,0.12,274,6025,145,Mumbai
04-01-2023,January,2023,Sandals,Woodland,8,17,3487,0.2,697,11857,47429,0.12,418,7114,136,Delhi
04-01-2023,January,2023,Sneakers,Paragon,9,24,1971,0.4,788,18923,28384,0.12,237,5677,68,Delhi
04-01-2023,January,2023,Flats,Paragon,6,24,668,0.4,267,6418,9626,0.12,80,1925,134,Delhi
04-01-2023,January,2023,Sneakers,Woodland,7,27,6014,0.2,1203,32475,129900,0.12,722,19485,188,Delhi
04-01-2023,January,2023,Sneakers,Paragon,9,46,1682,0.4,673,30943,46414,0.12,202,9283,154,Haryana
04-01-2023,January,2023,Boots,Nike,7,37,7252,0.15,1088,40246,228062,0.12,870,32197,169,Haryana
04-01-2023,January,2023,Heels,Paragon,6,16,652,0.4,261,4170,6255,0.12,78,1251,136,Mumbai
05-01-2023,January,2023,Boots,Adidas,7,44,5589,0.15,838,36887,209025,0.12,671,29509,96,Haryana
05-01-2023,January,2023,Sandals,Bata,7,14,2773,0.3,832,11645,27171,0.12,333,4658,75,Pune
05-01-2023,January,2023,Sneakers,Paragon,9,10,2922,0.4,1169,11690,17535,0.12,351,3507,110,Mumbai
05-01-2023,January,2023,Sneakers,Bata,9,40,1855,0.3,556,22260,51940,0.12,223,8904,65,Mumbai
06-01-2023,January,2023,Sandals,Nike,8,26,14118,0.15,2118,55061,312013,0.12,1694,44049,123,Haryana
06-01-2023,January,2023,Sandals,Paragon,10,45,2155,0.4,862,38784,58176,0.12,259,11635,89,Haryana
06-01-2023,January,2023,Boots,Reebok,7,13,5475,0.2,1095,14235,56941,0.12,657,8541,65,Pune
06-01-2023,January,2023,Flats,Bata,6,13,3337,0.3,1001,13013,30364,0.12,400,5205,185,Pune
06-01-2023,January,2023,Sneakers,Nike,9,15,13216,0.15,1982,29736,168505,0.12,1586,23789,67,Delhi
06-01-2023,January,2023,Flats,Puma,8,17,6679,0.2,1336,22708,90831,0.12,801,13625,113,Pune
06-01-2023,January,2023,Flats,Paragon,6,49,705,0.4,282,13817,20726,0.12,85,4145,199,Pune
06-01-2023,January,2023,Flats,Woodland,8,26,3226,0.2,645,16773,67092,0.12,387,10064,7,Mumbai
07-01-2023,January,2023,Sandals,Bata,7,29,2829,0.3,849,24611,57427,0.12,339,9845,68,Mumbai
07-01-2023,January,2023,Sneakers,Bata,9,46,4984,0.3,1495,68785,160497,0.12,598,27514,187,Delhi
07-01-2023,January,2023,Boots,Woodland,8,18,7600,0.2,1520,27358,109434,0.12,912,16415,112,Delhi
07-01-2023,January,2023,Sandals,Reebok,7,38,7002,0.2,1400,53219,212875,0.12,840,31931,127,Mumbai
07-01-2023,January,2023,Flats,Paragon,9,10,2170,0.4,868,8679,13018,0.12,260,2604,126,Pune
07-01-2023,January,2023,Flats,Nike,7,26,4385,0.15,658,17102,96912,0.12,526,13682,191,Delhi
07-01-2023,January,2023,Sneakers,Sketchers,8,48,2448,0.25,612,29374,88122,0.12,294,14100,102,Mumbai
