Date,Product,Brand,Size,Quantity Sold,Unit Price (₹),Margin (%),Profit (₹),Net Profit (₹),Total Revenue (₹),Tax (GST % ),Tax Amount (₹),Net Tax (₹),Dealer,Stock Availability,Dealer Location
01-01-2023,Sneakers,Nike,10,27,5938.7,15%,890.81,24051.87,136293.03,12%,712.64,19241.28,Dealer_2,1,Delhi
01-01-2023,Flats,Paragon,9,15,1976.23,40%,790.49,11857.35,17786.1,12%,237.15,3557.25,Dealer_1,57,Delhi
01-01-2023,Sneakers,Adidas,7,42,6816.15,15%,1022.42,42941.64,243336.66,12%,817.94,34353.48,Dealer_6,100,Pune
01-01-2023,Flats,Paragon,10,44,1548.8,40%,619.52,27258.88,40888.32,12%,185.86,8177.84,Dealer_4,200,Haryana
01-01-2023,Sandals,Nike,11,20,11377.67,15%,1706.65,34133,193420.4,12%,1365.32,27306.4,Dealer_3,121,Mumbai
01-01-2023,Sneakers,Adidas,11,31,2817.68,15%,422.65,13102.15,74245.93,12%,338.12,10481.72,Dealer_3,74,Mumbai
01-01-2023,Sandals,Bata,9,26,4228.51,30%,1268.55,32982.3,76958.96,12%,507.42,13192.92,Dealer_7,167,Mumbai
01-01-2023,Flats,Nike,8,15,9624.49,15%,1443.67,21655.05,122712.3,12%,1154.94,17324.1,Dealer_6,142,Pune
01-01-2023,Flats,Adidas,10,14,2366.6,15%,354.99,4969.86,28162.54,12%,283.99,3975.86,Dealer_2,124,Delhi
01-01-2023,Sneakers,Puma,7,34,3028.85,20%,605.77,20596.18,82384.72,12%,363.46,12357.64,Dealer_6,143,Pune
01-01-2023,Sneakers,Bata,8,23,3680.7,30%,1104.21,25396.83,59259.27,12%,441.68,10158.64,Dealer_7,68,Mumbai
01-01-2023,Flats,Paragon,7,44,2322.82,40%,929.13,40881.72,61322.36,12%,278.74,12264.56,Dealer_2,168,Delhi
01-01-2023,Sandals,Sketchers,10,45,2488.27,25%,622.07,27993.15,83979,12%,298.59,13436.55,Dealer_3,64,Mumbai
01-01-2023,Boots,Nike,8,35,6212.89,15%,931.93,32617.55,184833.6,12%,745.55,26094.25,Dealer_2,195,Delhi
02-01-2023,Boots,Paragon,9,35,2711.71,40%,1084.68,37963.8,56946.05,12%,325.41,11389.35,Dealer_6,167,Pune
02-01-2023,Sneakers,Sketchers,7,25,4852.45,25%,1213.11,30327.75,90983.5,12%,582.29,14557.25,Dealer_6,117,Pune
02-01-2023,Flats,Paragon,8,47,1498.5,40%,599.4,28171.8,42257.7,12%,179.82,8451.54,Dealer_2,85,Delhi
02-01-2023,Flats,Liberty,6,13,2652.76,40%,1061.1,13794.3,20691.58,12%,318.33,4138.29,Dealer_2,90,Delhi
02-01-2023,Flats,Paragon,8,48,658.82,40%,263.53,12649.44,18973.92,12%,79.06,3794.88,Dealer_3,169,Mumbai
02-01-2023,Flats,Sketchers,9,10,4561.28,25%,1140.32,11403.2,34209.6,12%,547.35,5473.5,Dealer_2,187,Delhi
03-01-2023,Flats,Paragon,8,17,1233.75,40%,493.5,8389.5,12584.25,12%,148.05,2516.85,Dealer_2,166,Delhi
03-01-2023,Sneakers,Paragon,10,26,2929.72,40%,1171.89,30469.14,45703.58,12%,351.57,9140.82,Dealer_7,95,Mumbai
03-01-2023,Flats,Nike,10,29,13100.03,15%,1965,56985,322915.87,12%,1572,45588,Dealer_6,100,Pune
03-01-2023,Sneakers,Bata,11,20,3157.52,30%,947.26,18945.2,44205.2,12%,378.9,7578,Dealer_7,185,Mumbai
03-01-2023,Sneakers,Paragon,8,41,548.69,40%,219.48,8998.68,13497.61,12%,65.84,2699.44,Dealer_3,128,Mumbai
03-01-2023,Boots,Nike,7,46,14363.39,15%,2154.51,99107.46,561608.48,12%,1723.61,79286.06,Dealer_1,174,Delhi
